id,name,brewery_type
3rd-rock-brewing-company-trenton,3rd Rock Brewing Company,micro
3rd-turn-brewing-louisville,3rd Turn Brewing,micro
3rd-wave-brewing-co-delmar,3rd Wave Brewing Co,micro
4-by-4-brewing-company-springfield,4 By 4 Brewing Company,micro
prehistoric-brewing-company-springfield,Prehistoric Brewing Company,micro
4-hands-brewing-co-saint-louis,4 Hands Brewing Co,regional
propagation-llc-saint-louis,Propagation LLC,planning
square-one-brewery-and-distillery-saint-louis,Square One Brewery and Distillery,brewpub
4-noses-brewing-company-broomfield,4 Noses Brewing Company,micro
gordon-biersch-brewery-restaurant-broomfield-broomfield,Gordon Biersch Brewery Restaurant - Broomfield,brewpub
westminster-brewing-co-westminster,Westminster Brewing Co,micro
4-stitch-brewing-co-bothell,4 Stitch Brewing Co,nano
decibel-brewing-co-bothell,Decibel Brewing Co,micro
mcmenamins-mill-creek-brewery-mill-creek,McMenamins Mill Creek Brewery,brewpub
watts-brewing-company-bothell,Watts Brewing Company,micro
400-north-brewing-sugarhill,400 North Brewing,planning
405-brewing-co-norman,(405) Brewing Co,micro
beer-is-good-brewing-company-norman,Beer Is Good Brewing Company,micro
black-mesa-brewing-company-norman,Black Mesa Brewing Company,micro
406-brewing-company-bozeman,406 Brewing Company,micro
bozeman-brewing-co-bozeman,Bozeman Brewing Co,micro
bridger-brewing-company-bozeman,Bridger Brewing Company,brewpub
dog-tag-brewing-bozeman,Dog Tag Brewing,contract
julius-lehrkind-brewing-bozeman,Julius Lehrkind Brewing,micro
map-brewing-company-bozeman,MAP Brewing Company,brewpub
the-bunkhouse-brewery-bozeman,The Bunkhouse Brewery,micro
white-dog-brewing-company-bozeman,White Dog Brewing Company,micro
411-broadway-ales-fresno,411 Broadway Ales,planning
tioga-sequoia-brewing-co-fresno,Tioga-Sequoia Brewing Co,micro
412-brews-mc-kees-rocks,412 Brews,brewpub
abjuration-brewing-mc-kees-rocks,Abjuration Brewing,micro
42-north-brewing-company-east-aurora,42 North Brewing Company,brewpub
4204-main-street-brewing-co-belleville,4204 Main Street Brewing Co,brewpub
mainstreet-brewing-company-belleville,Mainstreet Brewing Company,micro
450-north-brewing-company-simmons-winery-columbus,450 North Brewing Company @ Simmons Winery,brewpub
power-house-brewing-cos-columbus-bar-columbus,Power House Brewing Co's Columbus Bar,brewpub
47-hills-brewing-co-south-san-francisco,47 Hills Brewing Co,brewpub
armstrong-brewing-co-south-san-francisco,Armstrong Brewing Co,micro
49th-state-brewing-co-anchorage-anchorage,49th State Brewing Co - Anchorage,brewpub
broken-tooth-brewing-co-anchorage,Broken Tooth Brewing Co,brewpub
glacier-brewhouse-anchorage,Glacier Brewhouse,brewpub
humpys-great-alaskan-alehouse-anchorage,Humpy's Great Alaskan Alehouse,contract
matanuska-brewing-company-downtown-brewpub-anchorage,Matanuska Brewing Company - Downtown Brewpub,brewpub
resolution-brewing-company-anchorage,Resolution Brewing Company,brewpub
4bs-brewery-cedaredge,4B's Brewery,brewpub
4kd-crick-brewery-defiance,4kd Crick Brewery,brewpub
4th-tap-brewing-cooperative-austin,4th Tap Brewing Cooperative,micro
adelberts-brewery-llc-austin,Adelbert's Brewery LLC,micro
austin-beerworks-austin,Austin Beerworks,regional
celis-brewery-austin,Celis Brewery,micro
circle-brewing-company-austin,Circle Brewing Company,micro
oskar-blues-brewery-austin,Oskar Blues Brewery,micro
5-alarm-brewing-co-lake-mills,5 Alarm Brewing Co,micro
5-lakes-brewing-co-dorr,5 Lakes Brewing Co.,brewpub
5-north-brewing-company-spokane,5 North Brewing Company,brewpub
waddells-brewing-co-spokane,Waddell's Brewing Co.,brewpub
5-rabbit-cerveceria-inc-chicago,5 Rabbit Cerveceria Inc,micro
5-rights-brewing-co-marysville,5 Rights Brewing Co,micro
swinnerton-brewery-marysville,Swinnerton Brewery,micro
5-rivers-brewing-llc-spanish-fort,5 Rivers Brewing LLC,planning
5-seasons-brewing-co-prado-sandy-springs,5 Seasons Brewing Co - Prado,brewpub
5-seasons-brewing-co-westside-atlanta,5 Seasons Brewing Co - Westside,brewpub
fire-maker-brewing-company-atlanta,Fire Maker Brewing Company,micro
monday-night-brewing-atlanta,Monday Night Brewing,micro
red-brick-brewing-co-atlanta-brewing-co-atlanta,Red Brick Brewing Co / Atlanta Brewing Co,micro
scofflaw-brewing-co-atlanta,Scofflaw Brewing Co,micro
second-self-brewing-atlanta,Second Self Brewing,micro
5-stones-artisan-brewery-new-braunfels,5 Stones Artisan Brewery,micro
512-brewing-co-austin,(512) Brewing Co,micro
skull-mechanix-brewing-austin,Skull Mechanix Brewing,micro
