postal_code,county,ZHVI
17331,York County,250273.0
17331,York County,250273.0
53704,Dane County,319884.0
53704,Dane County,319884.0
53704,Dane County,319884.0
53704,Dane County,319884.0
53704,Dane County,319884.0
53704,Dane County,319884.0
95118,Santa Clara County,1532961.0
94601,Alameda County,719342.0
94601,Alameda County,719342.0
87008,Bernalillo County,427820.0
98282,Island County,706745.0
98292,Snohomish County,692606.0
60641,Cook County,400646.0
60641,Cook County,400646.0
60641,Cook County,400646.0
60641,Cook County,400646.0
45424,Montgomery County,185177.0
22601,Winchester City,300439.0
22601,Winchester City,300439.0
22601,Winchester City,300439.0
97402,Lane County,405553.0
97402,Lane County,405553.0
97402,Lane County,405553.0
97402,Lane County,405553.0
97402,Lane County,405553.0
97402,Lane County,405553.0
97402,Lane County,405553.0
23188,James City County,426149.0
23188,James City County,426149.0
11101,Queens County,819157.0
11101,Queens County,819157.0
11101,Queens County,819157.0
11101,Queens County,819157.0
11101,Queens County,819157.0
11101,Queens County,819157.0
11101,Queens County,819157.0
41001,Campbell County,287491.0
89451,Washoe County,1567336.0
87110,Bernalillo County,295636.0
87110,Bernalillo County,295636.0
92807,Orange County,1041610.0
60607,Cook County,424303.0
60607,Cook County,424303.0
60607,Cook County,424303.0
60607,Cook County,424303.0
60607,Cook County,424303.0
15601,Westmoreland County,265249.0
4103,Cumberland County,481196.0
4103,Cumberland County,481196.0
4103,Cumberland County,481196.0
4103,Cumberland County,481196.0
4103,Cumberland County,481196.0
4103,Cumberland County,481196.0
15212,Allegheny County,178300.0
15212,Allegheny County,178300.0
15212,Allegheny County,178300.0
15212,Allegheny County,178300.0
15212,Allegheny County,178300.0
15212,Allegheny County,178300.0
97128,Yamhill County,480964.0
97128,Yamhill County,480964.0
97128,Yamhill County,480964.0
97128,Yamhill County,480964.0
97128,Yamhill County,480964.0
18101,Lehigh County,145072.0
18101,Lehigh County,145072.0
37920,Knox County,282408.0
37920,Knox County,282408.0
32601,Alachua County,261036.0
32601,Alachua County,261036.0
32601,Alachua County,261036.0
55433,Anoka County,309729.0
40508,Fayette County,173356.0
40508,Fayette County,173356.0
40508,Fayette County,173356.0
40508,Fayette County,173356.0
40508,Fayette County,173356.0
40508,Fayette County,173356.0
40508,Fayette County,173356.0
50014,Story County,239701.0
48801,Gratiot County,134060.0
64108,Jackson County,289422.0
64108,Jackson County,289422.0
64108,Jackson County,289422.0
64108,Jackson County,289422.0
64108,Jackson County,289422.0
64108,Jackson County,289422.0
64108,Jackson County,289422.0
64108,Jackson County,289422.0
64108,Jackson County,289422.0
6026,Hartford County,357814.0
96813,Honolulu County,776213.0
96813,Honolulu County,776213.0
96813,Honolulu County,776213.0
96813,Honolulu County,776213.0
91722,Los Angeles County,691053.0
91722,Los Angeles County,691053.0
91722,Los Angeles County,691053.0
94549,Contra Costa County,1693678.0
94002,San Mateo County,2310910.0
94002,San Mateo County,2310910.0
63116,Saint Louis City,173370.0
63116,Saint Louis City,173370.0
10009,New York County,1171308.0
98844,Okanogan County,291196.0
98844,Okanogan County,291196.0
80218,Denver County,582827.0
80218,Denver County,582827.0
92113,San Diego County,625072.0
92113,San Diego County,625072.0
92113,San Diego County,625072.0
